vu_ort,vu_hoehe,tag,datum,uhrzeit,kat,flucht,igo,ago,t,sv,lv,anzahl_beteiligte,fg,rf,helm,mofa,kkr,krad,pkw,lkw,kom,sonstige,1,kennz_01,2,kennz_02,alkohol,typ,1_urs,2_urs,3_urs,sonst_urs,urs_02,lichtverhaeltnisse,strassenzustand,01_alter_in_jahren,02_alter_in_jahren,bemerkungen,igvp,,,,,
Sternstraße,30,fr,06.01.2017,14:15,5,,o,,,,,2,,,,,,,2,,,,21,ms,21,st,,711,,36,,,,,,45,,,,,,,,
Osttor,200m h. Albersloher Weg FR Hiltrup,fr,06.01.2017,18:00,5,,,o,,,,1,,,,,,,1,,,,21,ms,,,,751,,0,,86,,,,?,,,,,,,,
Inselbogen,56,fr,06.01.2017,12:55,5,,o,,,,,2,,,,,,,1,1,,,40,ms,21,ms,,601,,14,,,,,2,54,,,,,,,,
Goebenstraße,54,fr,06.01.2017,08:10,5,,o,,,,,1,,,,,,,1,,,,21,ms,,,,799,,49,,,,1,,32,,,,,,,,
Ottmarsbocholter Straße,300m v. Bönneweg FR Amelsbüren,fr,06.01.2017,18:55,5,,,o,,,,1,,,,,,,1,,,,21,coe,,,,755,,0,,86,,3,,42,,,,,,,,
Kösliner Straße,63,fr,06.01.2017,13:00,5,,o,,,,,2,,,,,,,2,,,,21,ms,21,ms,,711,,36,,,,,,66,,,,,,,,
Königsberger Straße,84,fr,06.01.2017,18:20,5,,m,,,,,3,,,,,,,2,1,,,40,gt,21,ms,,501,,14,,,,2,1,34,,,,,,,,
Von-Kluck-Straße,Am Kanonengraben,sa,07.01.2017,16:25,5,,m,,,,,2,,,,,,,2,,,,21,waf,21,ms,,711,,36,,,,1,2,34,,,,,,,,
Dahlweg,19,sa,07.01.2017,12:10,5,,m,,,,,2,,,,,,,2,,,,21,st,21,es,,711,,36,37,,,,1/2,29,,,,,,,,
Alter Postweg,47,sa,07.01.2017,12:20,5,,m,,,,,1,,,,,,,1,,,,21,ms,,,,141,,13,72,,,,2,33,,Stadt,,,,,,
Sudmühlenstraße,68,sa,07.01.2017,06:30,5,,o,,,,,1,,,,,,,1,,,,21,st,,,,141,,13,72,,,2/3,2,37,,,,,,,,
Ludgeriplatz,Königsstraße,mi,04.01.2017,14:40,5,,a,,,,,2,,,,,,,2,,,,21,pb,21,ms,,641,,26,,,,,1,34,,,,,,,,
Schiffahrter Damm,Parkplatz Aldi,do,05.01.2017,17:45,5,,z,,,,,2,,,,,,,2,,,,21,ms,21,mtk,,703,,14,,,,,,74,,,,,,,,
Gildenstraße,8c,do,05.01.2017,08:10,5,,z,,,,,2,,,,,,,,2,,,46,os,40,ms,,501,,14,,,,1,2,32,,,,,,,,
Westfalenstraße,Marktallee,fr,06.01.2017,17:00,5,,a,,,,,2,,,,,,,2,,,,21,os,21,ms,,211,,32,,,,2/3,,20,,,,,,,,
Schorlemerstraße,Ludgeriplatz,sa,07.01.2017,06:59,5,,m,,,,,2,,,,,,,2,,,,21,coe,21,ms,,621,,14,,,,2/3,2,59,,,,,,,,
Engelstraße,Herwarthstraße,sa,07.01.2017,12:47,5,,o,,,,,2,,,,,,,2,,,,21,ms,21,coe,,712,,36,,,,,2,43,,,,,,,,
Frauenstraße,49,so,08.01.2017,15:04,5,,o,,,,,2,,1,n,,,,1,,,,71,,21,ms,,501,,14,,,,,1,17,,,,,,,,
Wolbecker Straße,143,so,08.01.2017,14:35,5,,m,,,,,2,,,,,,,2,,,,21,coe,21,mi,,711,,36,,,,,1,21,,,,,,,,
Wolbecker Straße,Friedrichstraße,so,08.01.2017,17:00,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,712,,44,,,,2,1,46,,,,,,,,
Petronillaplatz,10,so,08.01.2017,15:29,5,,m,,,,,2,,,,,,,2,,,,21,bot,21,ms,,703,,36,,,,,1,76,,,,,,,,
An der Meerwiese,6,so,08.01.2017,12:00,5,,m,,,,,2,,,,,,,1,1,,,40,ms,21,ms,,711,,36,,,,,1,32,,,,,,,,
Davertstraße,Amelsbürener Straße,do,05.01.2017,13:40,5,X,,,,,,1,,,,,,,,,,1,92,,,,,141,,49,,,,,,F,,Stadt,702000-001041-17/5,,,,,
Soetenkamp,13,do,05.01.2017,17:00,5,X,,,,,,2,,,,,,,1,,,1,92,,21,ms,,799,,49,,,,,,F,,,702000-001668-17/2,,,,,
Hubertistraße,12,mi,04.01.2017,18:30,5,X,,,,,,2,,,,,,,1,,,1,92,,21,ms,,799,,49,,,,2/3,,F,,,702000-001540-17/6,,,,,
Landwegr,15m v. BAB-Überführung,do,05.01.2017,11:20,5,X,,,,,,2,,,,,,,1,,,1,92,,21,ms,,799,,49,,,,,1,F,,,702000-000998-17/8,,,,,
Grevener Straße,198,mi,04.01.2017,18:00,5,X,,,,,,2,,,,,,,1,,,1,92,,21,ms,,799,,49,,,,,,F,,,702000-001697-17/6,,,,,
Alter Mühlenweg,300m v. Auf der Laer,mi,04.01.2017,22:00,5,,,o,,,,1,,,,,,,1,,,,21,waf,,,,102,,13,72,,,2,2,41,,Stadt,,,,,,
Friedrich-Ebert-Straße,Hafenstraße / Busparkplatz,fr,06.01.2017,19:05,5,,m,,,,,2,,,,,,,2,,,,21,os,21,ms,,561,,37,,,,2,,28,,,,,,,,
Kolde-Ring,Sperlichstraße,mo,09.01.2017,07:16,5,,m,,,,,2,,,,,,,2,,,,21,bor,21,ms,,799,,49,,,,2/3,1,42,,Stadt,,,,,,
Albersloher Weg,Egbert-Snoek-Straße,mo,09.01.2017,17:05,5,,z,,,,,2,,,,,,,2,,,,21,ms,21,coe,,623,,14,,,,2,,82,,,,,,,,
Gremmendorfer Weg,Gustv-Tweer-Weg,mo,09.01.2017,14:15,5,,a,,,,,2,,,,,,,2,,,,21,waf,21,ms,,302,,35,,,,,,23,,,,,,,,
Klosterstraße,Verspoel,mo,09.01.2017,09:45,5,,a,,,,,2,,,,,,,2,,,,21,ms,21,coe,,321,,27,,,,,,61,,,,,,,,
Mendelstraße,15,mo,09.01.2017,08:25,5,,m,,,,,2,,,,,,,1,,,1,59,do,21,köt,,201,,14,,,,1,1,51,,,,,,,,
Coermühle,12,mo,09.01.2017,16:10,5,,z,,,,,2,,,,,,,1,,,1,59,,21,os,,562,,37,,,,,1,35,,,,,,,,
Lahnstraße,5,mo,09.01.2017,07:22,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,701,,49,,,,2,1,44,,,,,,,,
Königsberger Straße,An der Kleimannbrücke,mo,09.01.2017,18:30,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,601,,14,,,,2,1,44,,,,,,,,
Wienburgstraße,207,mo,09.01.2017,18:30,5,,m,,,,,2,,,,,,,2,,,,21,bor,21,st,,703,,36,,,,,,35,,,,,,,,
Grevener Straße,69,mo,09.01.2017,17:40,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,703,,14,,,,1,1,48,,,,,,,,
Leuschnerstraße,13,mo,09.01.2017,12:38,5,,m,,,,,2,,,,,1,,1,,,,21,ms,02,,,711,,36,,,,,,60,,,,,,,,
Ludgeriplatz,im Kreis,mo,09.01.2017,16:33,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,631,,26,,,,2,1,80,,,,,,,,
Schräderheide,72,mo,09.01.2017,13:30,5,,m,,,,,2,,,,,,,1,1,,,44,coe,21,kr,,711,,36,,,,,,44,,,,,,,,
Lublin-Ring,Kanalstraße,mo,09.01.2017,11:45,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,bor,,201,,14,,,,,,40,,,,,,,,
Sebastiankirchweg,Augustastraße,mo,09.01.2017,14:15,5,,o,,,,,2,,,,,,,2,,,,21,waf,21,bor,,703,,36,,,,,,55,,,,,,,,
Weseler Straße,Inselbogen,mo,09.01.2017,06:30,5,,m,,,,,2,,,,,,,2,,,,21,waf,21,ms,,631,,26,,,,2/3,1,55,,,,,,,,
Von-Holte-Straße,Parkplatz Lidl,mo,09.01.2017,13:25,5,,z,,,,,2,,,,,,,2,,,,21,ms,21,waf,,703,,36,,,,,,18,,,,,,,,
Südstraße,ggü. Ausländeramt,di,10.01.2017,12:05,5,,z,,,,,2,,,,,,,2,,,,21,ms,21,ms,,502,,14,,,,,1,24,,,,,,,,
Dortmunder Straße,36,di,10.01.2017,11:45,5,,m,,,,,2,,,,,,,1,1,,,40,bi,21,ms,,501,,14,,,,,1,55,,,,,,,,
Am Schütthook,1,di,10.01.2017,14:40,5,,z,,,,,2,,,,,,,2,,,,21,BG,21,ms,,714,,36,37,,,,,28,,,,,,,,
Hoher Heckenweg,ggü. Im Hagenfeld,di,10.01.2017,19:09,5,,o,,,,,1,,,,,,,,1,,,44,ms,,,,799,,49,,,,2/3,,63,,,,,,,,
Melchersstraße,18,di,10.01.2017,21:45,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,501,,14,,,,2/3,,57,,,,,,,,
Sudmühlenstraße,Dorbaumstraße,di,10.01.2017,16:25,5,,z,,,,,2,,,,,,,1,,1,,33,st,21,ms,,211,,14,,,,,,40,,,,,,,,
