datum,uhrzeit,strassenschluessel,strassennummer,vu_ort,vu_hoehe,anzahl_beteiligte,t,sv,lv,ortslage,lsa_in_betrieb,fgue,kreisverkehr,zul_geschwindigkeit,flucht,pkw,fg,rf,mofa,lkw,bus,zug,kat,art,typ,alkohol,1,1_urs,2,2_urs,3
20190307,1730,G,,Kesslerweg,,2,0,0,0,1,0,0,0,,0,1,0,0,0,1,0,0,5,Zusammenstoss mit anfahrendem/anhaltendem/ruhendem Fahrzeug,Sonstiger Unfall (SO),0,LKW,36,PKW,,
20190307,830,K,K6,Hohenzollernring,,2,0,0,0,1,0,0,0,,0,1,0,0,0,0,0,0,5,Zusammenstoss mit anfahrendem/anhaltendem/ruhendem Fahrzeug,Unfall durch ruhenden Verkehr (RV),0,PKW,14,PKW,,
20190307,1029,G,,Kettelerstraße,,2,0,0,0,1,0,0,0,,0,1,0,0,0,1,0,0,5,Zusammenstoss mit anfahrendem/anhaltendem/ruhendem Fahrzeug,Sonstiger Unfall (SO),0,LKW,36,PKW,,
20190307,1720,K,K6,Cheruskerring,,2,0,0,0,1,0,0,0,,0,1,0,0,0,0,0,0,5,Zusammenstoss mit anfahrendem/anhaltendem/ruhendem Fahrzeug,Unfall durch ruhenden Verkehr (RV),0,PKW,14,PKW,,
20190307,840,G,,An den Speichern,,2,0,0,0,1,0,0,0,,0,1,0,0,0,0,0,0,5,Unfall anderer Art,Unfall durch ruhenden Verkehr (RV),0,PKW,45,PKW,,
20190307,915,G,,Jüdefelderstraße,,2,0,0,0,1,0,0,0,,0,1,0,0,0,1,0,0,5,Zusammenstoss mit anfahrendem/anhaltendem/ruhendem Fahrzeug,Unfall durch ruhenden Verkehr (RV),0,LKW,14,PKW,,
20190307,1156,G,,Rudolfstraße,,2,0,0,0,1,0,0,0,,0,1,0,0,0,1,0,0,5,Zusammenstoss mit anfahrendem/anhaltendem/ruhendem Fahrzeug,Unfall durch ruhenden Verkehr (RV),0,LKW,14,PKW,,
20190307,1115,B,B54,Westfalenstraße,,2,0,0,0,1,0,0,0,,0,1,0,0,0,0,0,0,5,Zusammenstoss mit anfahrendem/anhaltendem/ruhendem Fahrzeug,Sonstiger Unfall (SO),0,PKW,14,PKW,,
20190307,1037,G,,Waldeyerstraße,,2,0,0,0,1,0,0,0,,0,1,0,0,0,0,0,0,5,Zusammenstoss mit anfahrendem/anhaltendem/ruhendem Fahrzeug,Sonstiger Unfall (SO),0,PKW,45,PKW,,
20190307,1305,G,,Lörstraße,,2,0,0,0,1,0,0,0,,0,1,0,0,0,0,0,0,5,Zusammenstoss mit anfahrendem/anhaltendem/ruhendem Fahrzeug,Sonstiger Unfall (SO),0,PKW,14,PKW,,
20190307,1215,B,B54,Steinfurter Straße,,1,0,0,0,1,0,0,0,,0,1,0,0,0,0,0,0,5,Unfall anderer Art,Sonstiger Unfall (SO),0,PKW,36,,,
20190307,930,G,,Hohe Geest,,2,0,0,0,1,0,0,0,,0,1,0,0,0,1,0,0,5,Zusammenstoss mit anfahrendem/anhaltendem/ruhendem Fahrzeug,Sonstiger Unfall (SO),0,LKW,36,PKW,,
20190307,1410,G,,Düesbergweg,,2,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,5,Zusammenstoss mit anfahrendem/anhaltendem/ruhendem Fahrzeug,Sonstiger Unfall (SO),0,Sonstige,36,Sonstige,,
20190307,1435,B,B54,Hammer Straße,,2,0,0,0,1,0,0,0,,0,1,0,0,0,0,0,0,5,Zusammenstoss mit vorausfahrendem/wartendem Fahrzeug,Unfall im Längsverkehr (LV),0,PKW,14,PKW,,
20190307,830,L,L884,Kappenberger Damm,,2,0,0,0,1,0,0,0,,0,1,0,0,0,0,0,0,5,Zusammenstoss mit vorausfahrendem/wartendem Fahrzeug,Abbiegeunfall (AB),0,PKW,14,PKW,,
20190307,1655,L,L843,Roxeler Straße,,2,0,0,0,1,0,0,0,,0,1,0,0,0,0,0,0,5,Zusammenstoss mit vorausfahrendem/wartendem Fahrzeug,Unfall im Längsverkehr (LV),0,PKW,14,PKW,,
20190307,1510,G,,Gasselstiege,,2,0,0,0,1,0,0,0,,0,1,0,0,0,0,0,0,5,Zusammenstoss mit anfahrendem/anhaltendem/ruhendem Fahrzeug,Sonstiger Unfall (SO),0,PKW,36,PKW,,
20190307,940,L,L843,von-Esmarch-Straße,Rishon-le-Zion-Ring,2,0,0,0,1,0,0,0,,0,1,0,0,0,0,0,0,5,Zusammenstoss mit vorausfahrendem/wartendem Fahrzeug,Abbiegeunfall (AB),0,PKW,14,PKW,,
20190307,1425,K,K37,Hiltruper Straße,,2,0,0,0,1,0,0,0,,0,1,0,0,0,0,0,0,5,Zusammenstoss mit anfahrendem/anhaltendem/ruhendem Fahrzeug,Sonstiger Unfall (SO),0,PKW,14,PKW,,
20190307,1300,G,,Teichstraße,,2,0,0,0,1,0,0,0,,0,1,0,0,0,0,0,0,5,Zusammenstoss mit anfahrendem/anhaltendem/ruhendem Fahrzeug,Sonstiger Unfall (SO),0,PKW,36,PKW,,
20190307,840,L,L843,Warendorfer Straße,,2,0,0,0,1,0,0,0,,0,1,0,0,0,0,0,0,5,Zusammenstoss mit vorausfahrendem/wartendem Fahrzeug,Abbiegeunfall (AB),0,PKW,14,PKW,,
20190308,630,L,L843,Roxeler Straße,,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,5,Unfall anderer Art,Sonstiger Unfall (SO),0,PKW,,,,
20190308,640,K,K8,Hoher Heckenweg,,2,0,0,0,1,0,0,0,,0,1,0,0,0,0,0,0,5,Zusammenstoss mit vorausfahrendem/wartendem Fahrzeug,Unfall im Längsverkehr (LV),0,PKW,14,PKW,,
20190308,855,B,B51,Wolbecker Straße,,2,0,0,0,1,0,0,0,,0,1,0,0,0,1,0,0,5,Zusammenstoss mit seitlich in gleicher Richtung fahrendem Fahrzeug,Unfall im Längsverkehr (LV),0,LKW,26,PKW,,
20190308,1115,G,,Austermannstraße,Horstmarer Landweg,2,0,0,0,1,0,0,0,,0,1,0,0,0,1,0,0,5,Zusammenstoss mit vorausfahrendem/wartendem Fahrzeug,Abbiegeunfall (AB),0,LKW,14,PKW,,
20190308,1900,B,B54,Ludgeriplatz,,2,0,0,0,1,0,0,1,,0,1,0,0,0,0,1,0,5,Zusammenstoss mit seitlich in gleicher Richtung fahrendem Fahrzeug,Unfall im Längsverkehr (LV),0,Bus,26,PKW,,
20190308,1330,G,,Eisenbahnstraße,,2,0,0,0,1,0,0,0,,0,1,0,0,0,0,0,0,5,Zusammenstoss mit vorausfahrendem/wartendem Fahrzeug,Unfall im Längsverkehr (LV),0,PKW,14,PKW,,
20190308,1115,G,,Siemensstraße,,2,0,0,0,1,0,0,0,,0,1,0,0,1,0,0,0,5,Zusammenstoss mit vorausfahrendem/wartendem Fahrzeug,Unfall im Längsverkehr (LV),0,Kraftrad,14,PKW,,
20190308,1915,B,B51,Westfalenstraße,,2,0,0,0,1,0,0,0,,0,1,0,0,0,0,0,0,5,Zusammenstoss mit vorausfahrendem/wartendem Fahrzeug,Abbiegeunfall (AB),0,PKW,14,PKW,,
20190308,1935,B,B54,Hammer Straße,Umgehungsstraße,2,0,0,0,1,0,0,0,,0,1,0,0,0,0,0,0,5,Zusammenstoss mit vorausfahrendem/wartendem Fahrzeug,Abbiegeunfall (AB),0,PKW,14,PKW,,
20190308,2040,L,L586,Albersloher Weg,,2,0,0,0,1,0,0,0,,0,1,0,0,0,0,0,0,5,Zusammenstoss mit vorausfahrendem/wartendem Fahrzeug,Unfall im Längsverkehr (LV),0,PKW,14,PKW,,
